title,price_gbp,price_inr,rating,in_stock,category
Soumission,50.1,5285.55,1,True,Fiction
Private Paris (Private #10),47.61,5022.85,5,True,Fiction
"We Love You, Charlie Freeman",50.27,5303.48,5,True,Fiction
Thirst,17.27,1821.98,5,True,Fiction
The Murder That Never Was (Forensic Instincts #5),54.11,5708.6,3,True,Fiction
Tuesday Nights in 1980,21.04,2219.72,2,True,Fiction
The Vacationers,42.15,4446.82,4,True,Fiction
The Regional Office Is Under Attack!,51.36,5418.48,5,True,Fiction
Finders Keepers (Bill Hodges Trilogy #2),53.53,5647.42,5,True,Fiction
The Time Keeper,27.88,2941.34,5,True,Fiction
The Testament of Mary,52.67,5556.68,4,True,Fiction
The First Hostage (J.B. Collins #2),25.85,2727.18,3,True,Fiction
Take Me with You,45.21,4769.66,3,True,Fiction
Still Life with Bread Crumbs,26.41,2786.26,3,True,Fiction
Shtum,55.84,5891.12,4,True,Fiction
My Name Is Lucy Barton,41.56,4384.58,1,True,Fiction
My Mrs. Brown,24.48,2582.64,3,True,Fiction
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,3048.95,1,True,Fiction
I Am Pilgrim (Pilgrim #1),10.6,1118.3,4,True,Fiction
Eligible (The Austen Project #4),27.09,2858.0,3,True,Fiction
Eight Hundred Grapes,14.39,1518.14,4,True,Fiction
Dear Mr. Knightley,11.21,1182.66,5,True,Fiction
Cometh the Hour (The Clifton Chronicles #6),25.01,2638.56,3,True,Fiction
Balloon Animals,17.03,1796.67,3,True,Fiction
A Man Called Ove,39.72,4190.46,1,True,Fiction
The Silent Sister (Riley MacPherson #1),46.29,4883.6,5,True,Fiction
The Dinner Party,56.54,5964.97,2,True,Fiction
The Improbability of Love,59.45,6271.98,1,True,Fiction
Mothering Sunday,13.34,1407.37,2,True,Fiction
Lies and Other Acts of Love,45.14,4762.27,1,True,Fiction
Daredevils,16.34,1723.87,3,True,Fiction
11/22/63,48.48,5114.64,3,True,Fiction
Worlds Elsewhere: Journeys Around Shakespeareas Globe,40.3,4251.65,5,True,Nonfiction
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3275.78,3,True,Nonfiction
Reasons to Stay Alive,26.41,2786.26,2,True,Nonfiction
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,2438.1,5,True,Nonfiction
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,4660.99,4,True,Nonfiction
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,3283.16,3,True,Nonfiction
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,1769.24,3,True,Nonfiction
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,3917.22,1,True,Nonfiction
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,5914.33,1,True,Nonfiction
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,4413.06,4,True,Nonfiction
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,2092.06,2,True,Nonfiction
