title,price,star_rating,availability,category
Soumission,£50.10,One,In stock (20 available),Fiction
Private Paris (Private #10),£47.61,Five,In stock (17 available),Fiction
"We Love You, Charlie Freeman",£50.27,Five,In stock (16 available),Fiction
Thirst,£17.27,Five,In stock (16 available),Fiction
The Murder That Never Was (Forensic Instincts #5),£54.11,Three,In stock (16 available),Fiction
Tuesday Nights in 1980,£21.04,Two,In stock (15 available),Fiction
The Vacationers,£42.15,Four,In stock (15 available),Fiction
The Regional Office Is Under Attack!,£51.36,Five,In stock (15 available),Fiction
Finders Keepers (Bill Hodges Trilogy #2),£53.53,Five,In stock (15 available),Fiction
The Time Keeper,£27.88,Five,In stock (14 available),Fiction
The Testament of Mary,£52.67,Four,In stock (14 available),Fiction
The First Hostage (J.B. Collins #2),£25.85,Three,In stock (14 available),Fiction
Take Me with You,£45.21,Three,In stock (14 available),Fiction
Still Life with Bread Crumbs,£26.41,Three,In stock (14 available),Fiction
Shtum,£55.84,Four,In stock (14 available),Fiction
My Name Is Lucy Barton,£41.56,One,In stock (14 available),Fiction
My Mrs. Brown,£24.48,Three,In stock (14 available),Fiction
Mr. Mercedes (Bill Hodges Trilogy #1),£28.90,One,In stock (14 available),Fiction
I Am Pilgrim (Pilgrim #1),£10.60,Four,In stock (14 available),Fiction
Eligible (The Austen Project #4),£27.09,Three,In stock (14 available),Fiction
Eight Hundred Grapes,£14.39,Four,In stock (14 available),Fiction
Dear Mr. Knightley,£11.21,Five,In stock (14 available),Fiction
Cometh the Hour (The Clifton Chronicles #6),£25.01,Three,In stock (14 available),Fiction
Balloon Animals,£17.03,Three,In stock (14 available),Fiction
A Man Called Ove,£39.72,One,In stock (14 available),Fiction
The Silent Sister (Riley MacPherson #1),£46.29,Five,In stock (12 available),Fiction
The Dinner Party,£56.54,Two,In stock (12 available),Fiction
The Improbability of Love,£59.45,One,In stock (11 available),Fiction
Mothering Sunday,£13.34,Two,In stock (11 available),Fiction
Lies and Other Acts of Love,£45.14,One,In stock (11 available),Fiction
Daredevils,£16.34,Three,In stock (11 available),Fiction
11/22/63,£48.48,Three,In stock (11 available),Fiction
Worlds Elsewhere: Journeys Around Shakespeareas Globe,£40.30,Five,In stock (18 available),Nonfiction
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,£31.05,Three,In stock (18 available),Nonfiction
Reasons to Stay Alive,£26.41,Two,In stock (17 available),Nonfiction
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,Five,In stock (17 available),Nonfiction
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",£44.18,Four,In stock (16 available),Nonfiction
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,£31.12,Three,In stock (16 available),Nonfiction
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,£16.77,Three,In stock (16 available),Nonfiction
The Gutsy Girl: Escapades for Your Life of Epic Adventure,£37.13,One,In stock (16 available),Nonfiction
The Electric Pencil: Drawings from Inside State Hospital No. 3,£56.06,One,In stock (16 available),Nonfiction
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,£41.83,Four,In stock (16 available),Nonfiction
Reskilling America: Learning to Labor in the Twenty-First Century,£19.83,Two,In stock (16 available),Nonfiction
In the Country We Love: My Family Divided,£22.00,Four,In stock (16 available),Nonfiction
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,£54.35,Two,In stock (16 available),Nonfiction
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,£29.14,Five,In stock (16 available),Nonfiction
Algorithms to Live By: The Computer Science of Human Decisions,£30.81,One,In stock (16 available),Nonfiction
The Power of Now: A Guide to Spiritual Enlightenment,£43.54,Two,In stock (15 available),Nonfiction
The Omnivore's Dilemma: A Natural History of Four Meals,£38.21,Two,In stock (15 available),Nonfiction
The Genius of Birds,£17.24,One,In stock (15 available),Nonfiction
The Artist's Way: A Spiritual Path to Higher Creativity,£38.49,Five,In stock (15 available),Nonfiction
So You've Been Publicly Shamed,£12.23,Two,In stock (15 available),Nonfiction
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",£19.43,Three,In stock (15 available),Nonfiction
Big Magic: Creative Living Beyond Fear,£30.80,Three,In stock (15 available),Nonfiction
Becoming Wise: An Inquiry into the Mystery and Art of Living,£27.43,Two,In stock (15 available),Nonfiction
Agnostic: A Spirited Manifesto,£12.51,Five,In stock (15 available),Nonfiction
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,£38.20,Four,In stock (14 available),Nonfiction
What's It Like in Space?: Stories from Astronauts Who've Been There,£19.60,Two,In stock (14 available),Nonfiction
The Year of Magical Thinking,£43.04,Two,In stock (14 available),Nonfiction
The Literature Book (Big Ideas Simply Explained),£17.43,Three,In stock (14 available),Nonfiction
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World's Most Precious Manuscripts,£15.77,One,In stock (14 available),Nonfiction
Swell: A Year of Waves,£45.58,One,In stock (14 available),Nonfiction
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,£21.95,Two,In stock (14 available),Nonfiction
Looking for Lovely: Collecting the Moments that Matter,£29.14,Five,In stock (14 available),Nonfiction
Let It Out: A Journey Through Journaling,£26.79,Five,In stock (14 available),Nonfiction
Hamilton: The Revolution,£58.79,Three,In stock (14 available),Nonfiction
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",£15.06,Four,In stock (14 available),Nonfiction
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",£51.75,Five,In stock (14 available),Nonfiction
Buying In: The Secret Dialogue Between What We Buy and Who We Are,£37.80,Four,In stock (14 available),Nonfiction
Brain on Fire: My Month of Madness,£49.32,Five,In stock (14 available),Nonfiction
Abstract City,£56.37,Five,In stock (14 available),Nonfiction
