titulo;precio;cantidad_stock;categoria;rating
A Light in the Attic;51.77;22;poetry;3
Tipping the Velvet;53.74;20;historical fiction;1
Soumission;50.10;20;fiction;1
Sharp Objects;47.82;20;mystery;4
Sapiens: A Brief History of Humankind;54.23;20;history;5
The Requiem Red;22.65;19;young adult;1
The Dirty Little Secrets of Getting Your Dream Job;33.34;19;business;4
The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull;17.93;19;default;3
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics;22.60;19;default;4
The Black Maria;52.15;19;poetry;1
Starving Hearts (Triangular Trade Trilogy, #1);13.99;19;default;2
Shakespeare's Sonnets;20.66;19;poetry;4
Set Me Free;17.46;19;young adult;5
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1);52.29;19;sequential art;5
Rip it Up and Start Again;35.02;19;music;5
Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991;57.25;19;music;3
Olio;23.88;19;poetry;1
Mesaerion: The Best Science Fiction Stories 1800-1849;37.59;19;science fiction;1
Libertarianism for Beginners;51.33;19;politics;2
It's Only the Himalayas;45.17;19;travel;2
In Her Wake;12.84;19;thriller;1
How Music Works;37.32;19;music;2
Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More;30.52;19;food and drink;3
Chase Me (Paris Nights #2);25.27;19;romance;5
Black Dust;34.53;19;romance;5
Birdsong: A Story in Pictures;54.64;19;childrens;3
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana;22.50;19;default;3
Aladdin and His Wonderful Lamp;53.13;19;default;3
Worlds Elsewhere: Journeys Around Shakespeareas Globe;40.30;18;nonfiction;5
Wall and Piece;44.18;18;art;4
The Four Agreements: A Practical Guide to Personal Freedom;17.66;18;spirituality;5
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate;31.05;18;nonfiction;3
The Elephant Tree;23.82;18;thriller;5
The Bear and the Piano;36.89;18;childrens;1
Sophie's World;15.94;18;philosophy;5
Penny Maybe;33.29;18;default;3
Maude (1883-1993):She Grew Up with the country;18.02;18;default;2
In a Dark, Dark Wood;19.63;18;mystery;1
Behind Closed Doors;52.22;18;thriller;4
You can't bury them all: Poems;33.63;17;poetry;2
Slow States of Collapse: Poems;57.31;17;poetry;3
Reasons to Stay Alive;26.41;17;nonfiction;2
Private Paris (Private #10);47.61;17;fiction;5
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.;23.11;17;nonfiction;5
Without Borders (Wanderlove #1);45.07;16;new adult;2
When We Collided;31.77;16;contemporary;1
We Love You, Charlie Freeman;50.27;16;fiction;5
Untitled Collection: Sabbath Poems 2014;14.27;16;poetry;4
Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness;44.18;16;nonfiction;4
Unicorn Tracks;18.78;16;fantasy;3
Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink;25.52;16;history;1
